Probe	ProbeID	gennames	biotype_gene
1	ILMN_1343295	4490161	NA	NA
2	ILMN_1651199	1770632	NA	NA
3	ILMN_1651210	380154	NA	NA
4	ILMN_1651221	2490538	NA	NA
5	ILMN_1651228	650349	RPS28	protein_coding
6	ILMN_1651229	2510494	IPO13	protein_coding
7	ILMN_1651230	2940041	PRSS41	transcribed_unprocessed_pseudogene
8	ILMN_1651232	1940544	NA	NA
9	ILMN_1651235	3130458	NA	NA
10	ILMN_1651237	2630433	CDT1	protein_coding
11	ILMN_1651238	6480739	NA	NA
12	ILMN_1651253	3830112	WIPF3	protein_coding
13	ILMN_1651254	6350711	LPP	protein_coding
14	ILMN_1651259	6560392	UGP2	protein_coding
15	ILMN_1651262	5810440	NA	NA
16	ILMN_1651268	5900035	BORCS5	protein_coding
17	ILMN_1651278	2690270	SNIP1	protein_coding
18	ILMN_1651279	6180274	NA	NA
19	ILMN_1651281	1500523	C8orf89	protein_coding
20	ILMN_1651282	990372	COL17A1	protein_coding
21	ILMN_1651285	1260093	BCL6B	protein_coding
22	ILMN_1651286	2030053	GRHL1	protein_coding
23	ILMN_1651288	6130021	NA	NA
24	ILMN_1651292	2680739	SF1	protein_coding
25	ILMN_1651303	780195	ATP13A4	protein_coding
26	ILMN_1651309	1850538	NA	NA
27	ILMN_1651310	270021	AFDN	protein_coding
28	ILMN_1651315	5670110	HMG20B	protein_coding
29	ILMN_1651316	6900634	CD69	protein_coding
30	ILMN_1651328	6760445	NA	NA
31	ILMN_1651329	1410747	NA	NA
32	ILMN_1651330	3800008	KCNG4	protein_coding
33	ILMN_1651336	7330377	NA	NA
34	ILMN_1651341	1300341	NA	NA
35	ILMN_1651343	1770561	ITGA11	protein_coding
36	ILMN_1651346	6550026	NA	NA
37	ILMN_1651347	2070367	SERTAD2	protein_coding
38	ILMN_1651354	3460070	SPP1	protein_coding
39	ILMN_1651358	4830541	NA	NA
40	ILMN_1651364	6100594	NA	NA
41	ILMN_1651365	3940088	NA	NA
42	ILMN_1651369	6060400	NA	NA
43	ILMN_1651370	5720092	USP21	protein_coding
44	ILMN_1651373	5220615	NA	NA
45	ILMN_1651380	1660735	CBR3-AS1	processed_transcript
46	ILMN_1651385	5550253	MFN2	protein_coding
47	ILMN_1651388	7510246	NA	NA
48	ILMN_1651395	6110390	NA	NA
49	ILMN_1651396	380041	NA	NA
50	ILMN_1651405	2190563	BRD9	protein_coding
51	ILMN_1651408	4920376	NA	processed_pseudogene
52	ILMN_1651415	6270408	DERL3	protein_coding
