logFC	AveExpr	t	P.Value	adj.P.Val	B
FOXN2	1.44816049177009	10.8845525549854	12.4492833803112	2.31654205488902e-24	2.4214814099755e-20	44.6193550443411
CAPZA2	1.43506448956694	11.9212405217518	11.9443330108465	4.61763479112348e-23	2.41340682358069e-19	41.7080546581356
ZNF106	1.46189291009133	10.5035971161058	11.8515568604065	8.00607516982024e-23	2.7895834583377e-19	41.1724503161923
PTGDR	-1.37939824658858	6.40831376606204	-11.5550199233413	4.65050106248141e-22	1.21529219015295e-18	39.4597605386239
RAB8B	1.13972700405669	11.2959267143358	10.7057470784703	7.13558673382927e-20	1.24313813547862e-16	34.5574597035056
GMFB	1.25336896070394	9.81387154405109	10.6332502555352	1.09543029230009e-19	1.63579040648755e-16	34.1398462506202
KCNJ2	1.56914779758898	10.6476220585985	10.1804189706899	1.58317615206398e-18	1.65489403175247e-15	31.5373940095673
FEM1C	1.54514263099685	9.93357570754745	9.97310205775276	5.35228723718553e-18	5.08613259002731e-15	30.3504123066659
PID1	-1.61956176383386	6.4735243900073	-9.88683456269026	8.87581685412298e-18	7.73157613134562e-15	29.8575191914597
P2RY10	-1.63860536692677	6.54126450383577	-9.86323809904702	1.01916117635378e-17	8.19483982802006e-15	29.722813796275
POMP	1.17073352409527	11.3157962760365	9.75146656391606	1.96020771542292e-17	1.36600341662105e-14	29.0854452379479
MPP1	1.38791672113543	11.1035117176715	9.70718428509791	2.53918301092017e-17	1.65888000082178e-14	28.8332639735144
FAM160B1	1.34221114495197	10.4974878188321	9.62662338845751	4.06384152335237e-17	2.35996308020013e-14	28.3749959479787
DCP2	1.1696028658748	11.0765710096131	9.61538040754209	4.3392697404908e-17	2.3872835051237e-14	28.3110950765295
TLR5	2.19780675401654	10.9422642850584	9.51098197038047	7.97221278962102e-17	4.16667701449543e-14	27.7183984126101
ZMPSTE24	1.01004887015906	10.5408701116569	9.49776069778409	8.60982677017675e-17	4.28564377279322e-14	27.6434258637805
PPIA	-1.24164323572756	6.06746372259124	-9.46347666803428	1.05099928421254e-16	4.99367978085167e-14	27.4491099664592
ID3	-1.70693665300393	6.16268550677372	-9.45082396794928	1.13122809161673e-16	5.14118575724767e-14	27.3774317865408
EPHX2	-1.26376207986693	6.42968742372263	-9.3163451089108	2.46930990778215e-16	9.92757556386418e-14	26.6168159494637
WDR26	1.4593668315	9.51821881661314	9.12675838145634	7.3922377857834e-16	2.58537097634041e-13	25.5485335784161
YTHDF3	1.19552126602441	8.74214449873723	9.12356390014738	7.52975994057278e-16	2.58537097634041e-13	25.5305762158673
RAP2C	1.09938981070157	9.5453145979635	9.12042612320516	7.66732041199203e-16	2.58537097634041e-13	25.5129390430692
YWHAH	1.09795122535433	12.506584260146	9.02189805253402	1.35272966491136e-15	4.28487369312681e-13	24.9598576184492
LY96	1.74713985282677	12.6427242294161	8.887642822376	2.9251606698318e-15	8.49352902270883e-13	24.2086181524802
FCRL6	-1.00244898347716	6.0912156929708	-8.8752366265267	3.14078201688861e-15	8.87313362771259e-13	24.1393432830326
