logFC	AveExpr	t	P.Value	adj.P.Val	B
PTGDR	-1.37939824658858	6.40831376606204	-11.5550199233413	4.65050106248141e-22	1.21529219015295e-18	39.4597605386239
PID1	-1.61956176383386	6.4735243900073	-9.88683456269026	8.87581685412298e-18	7.73157613134562e-15	29.8575191914597
P2RY10	-1.63860536692677	6.54126450383577	-9.86323809904702	1.01916117635378e-17	8.19483982802006e-15	29.722813796275
PPIA	-1.24164323572756	6.06746372259124	-9.46347666803428	1.05099928421254e-16	4.99367978085167e-14	27.4491099664592
ID3	-1.70693665300393	6.16268550677372	-9.45082396794928	1.13122809161673e-16	5.14118575724767e-14	27.3774317865408
EPHX2	-1.26376207986693	6.42968742372263	-9.3163451089108	2.46930990778215e-16	9.92757556386418e-14	26.6168159494637
FCRL6	-1.00244898347716	6.0912156929708	-8.8752366265267	3.14078201688861e-15	8.87313362771259e-13	24.1393432830326
TXK	-1.71007770356142	6.51992776037956	-8.78807742444491	5.17284848144055e-15	1.25748337619763e-12	23.6533761388838
TRAF5	-1.30398758333228	6.25165834469343	-8.78195601712727	5.35707560843187e-15	1.27267071215769e-12	23.6192936918422
SH2D1B	-1.3560610848748	6.64878968036496	-8.71051890645298	8.05531185735239e-15	1.87115944099788e-12	23.2220305062986
MRPS21	-1.12601065598031	8.71856262135037	-8.69567429259218	8.76690906571336e-15	1.94513202623435e-12	23.1395920516722
TRBC2	-1.32479898131928	6.85534317540146	-8.69240159892565	8.93201351375191e-15	1.94513202623435e-12	23.1214226846439
PABPC3	-1.01668913762598	7.27789492083212	-8.58913839713941	1.60763925980603e-14	3.2950300358338e-12	22.5491260342978
RPS6	-1.16170554784252	12.5886470355474	-8.52629412060267	2.29669974668057e-14	4.36498226400945e-12	22.201810487705
FCRL3	-1.20342300736089	6.46599193323358	-8.50351679362051	2.61319332262113e-14	4.79222978971206e-12	22.0761165469549
RPL23	-1.36274049851968	11.6458418568613	-8.49831592923561	2.69133401344407e-14	4.85043352457428e-12	22.0474303725094
PAFAH2	-1.03592842729133	7.11222950237956	-8.45542352757304	3.43092954527633e-14	5.87926336668417e-12	21.8110536836053
TRMT10C	-1.10431746158661	6.66082961689781	-8.44152740965187	3.71141580992657e-14	6.25732733244556e-12	21.7345516313947
RPS29P9	-1.25221598133701	6.88048249743796	-8.37889673562812	5.28625695833519e-14	8.6339443727309e-12	21.3902364692914
PYHIN1	-1.65971673865407	7.28833336341363	-8.30406306211899	8.05807273233518e-14	1.1698754759875e-11	20.9798973157359
ZNF91	-1.46773805856929	8.40368746918978	-8.27025300504928	9.74500831628413e-14	1.39540509493312e-11	20.7948937542224
GOLGA8CP	-1.0859126733252	6.56843171035766	-8.22031510473574	1.28978607262721e-13	1.71882180669092e-11	20.5220936590641
NACAP1	-1.51095285273622	7.79556562916058	-8.21904246429777	1.29902346435074e-13	1.71882180669092e-11	20.5151486327031
DNAJC30	-1.09113838739764	6.33888574786861	-8.17890762072636	1.62659817258814e-13	2.12535383725798e-11	20.2963099098951
PABPC1	-1.26860799591338	11.1993747788759	-8.0965523149125	2.57748518484404e-13	3.13016845202596e-11	19.8483982118939
PLCH2	-1.08828713495433	6.47547508679562	-8.07227876997017	2.95115948178509e-13	3.50550796171586e-11	19.7166777133748
SPON2	-1.23482741675039	5.22567589223358	-7.95688019731559	5.60663407838e-13	6.21570463343693e-11	19.0923768083409
PDZD4	-1.00521700574095	6.24251126162774	-7.95085281301391	5.79724734066765e-13	6.21570463343693e-11	19.0598573403218
RPL15P3	-1.10857465538976	11.7967560616679	-7.8792434199846	8.61849766195348e-13	8.57991962479997e-11	18.6741926093676
PJA1	-1.0138800536937	5.88896142494161	-7.84458857986907	1.04369672873284e-12	1.010163139393e-10	18.4880156486374
RPL4P5	-1.34843116211023	10.7608151901606	-7.83552996833085	1.09720043787002e-12	1.04263965245957e-10	18.4394003518185
KLHL3	-1.47570370388346	6.00480962954015	-7.81926760214585	1.20016529233906e-12	1.12011855364466e-10	18.3521772033893
RPL7A	-1.1390773318189	11.1954381949708	-7.81147617682529	1.25283670648311e-12	1.15892938874937e-10	18.3104120925932
NELL2	-1.50394032611811	7.5737092090219	-7.75025407537317	1.75481683986864e-12	1.58130176096094e-10	17.9827883283363
PDGFRB	-1.22111675574252	5.50866987506569	-7.69164497860812	2.4206281860628e-12	2.00816082769162e-10	17.6700780187583
CD40LG	-1.31442176717244	6.17873022721168	-7.65647872924133	2.93466614457385e-12	2.37798955110314e-10	17.4828927853076
PRKCQ-AS1	-1.09236976450552	7.16638422590146	-7.63779539539793	3.25036420695136e-12	2.59359214162309e-10	17.3835815874261
SORBS3	-1.08577328610394	5.7976251300292	-7.61764387182897	3.62866166789961e-12	2.83062689660855e-10	17.2765742903603
TBC1D31	-1.1053101527874	6.85883996740876	-7.6099153806608	3.78504920671739e-12	2.90919995278065e-10	17.2355648830953
RPL37P6	-1.02935315860551	7.34996500814599	-7.57998606681527	4.45625649704594e-12	3.35116900457707e-10	17.0769096564811
PGAP3	-1.02700715954252	7.12010474440146	-7.57369893462277	4.61158272710629e-12	3.44320530331729e-10	17.0436135864295
GZMM	-1.24646721689449	7.18436731143796	-7.57128160567123	4.67272112289367e-12	3.45145893984453e-10	17.0308146071842
TSEN54	-1.10182311928189	6.09227168432117	-7.5706559765584	4.68867472934012e-12	3.45145893984453e-10	17.0275023713822
ARL4C	-1.38499869025354	6.26864750825547	-7.53687376803746	5.63519659033622e-12	4.062393790261e-10	16.8488160046664
FAM230C	-1.00382224239213	8.60235807253285	-7.51695175675942	6.27969584845793e-12	4.43524734486018e-10	16.7435941325743
TRMT11	-1.23312950042677	6.31622918875912	-7.47244351784441	7.99526266127261e-12	5.42691432456381e-10	16.5089299720568
RPL23AP97	-1.22965534211024	11.4499512992774	-7.44929751729176	9.06326827387527e-12	6.07297072223194e-10	16.387124242031
EEF1A1P27	-1.53365813747244	11.8380364429781	-7.39939542861634	1.18700729447789e-11	7.56572393242524e-10	16.1250543574085
IL2RB	-2.10058621367244	8.48438342637956	-7.25475126959925	2.58384045271047e-11	1.51735304787542e-09	15.3697005120784
GIMAP7	-1.57023900774842	8.87128198286861	-7.23050589677553	2.94185078025709e-11	1.68039159595778e-09	15.2437245438491
HLA-DQA1	-2.44650873715354	8.38348256843066	-7.22145331340729	3.08774817628735e-11	1.75414302645281e-09	15.1967362704086
RPL13P12	-1.16617598732441	6.91338533111679	-7.21232336185592	3.24213862784629e-11	1.83189595010147e-09	15.1493728771567
FCER1A	-3.29029849911024	8.00483334354744	-7.19666745617387	3.52485400517143e-11	1.95985632532218e-09	15.0682169307235
