logFC	AveExpr	t	P.Value	adj.P.Val	B
FOXN2	1.44816049177009	10.8845525549854	12.4492833803112	2.31654205488902e-24	2.4214814099755e-20	44.6193550443411
CAPZA2	1.43506448956694	11.9212405217518	11.9443330108465	4.61763479112348e-23	2.41340682358069e-19	41.7080546581356
ZNF106	1.46189291009133	10.5035971161058	11.8515568604065	8.00607516982024e-23	2.7895834583377e-19	41.1724503161923
RAB8B	1.13972700405669	11.2959267143358	10.7057470784703	7.13558673382927e-20	1.24313813547862e-16	34.5574597035056
GMFB	1.25336896070394	9.81387154405109	10.6332502555352	1.09543029230009e-19	1.63579040648755e-16	34.1398462506202
KCNJ2	1.56914779758898	10.6476220585985	10.1804189706899	1.58317615206398e-18	1.65489403175247e-15	31.5373940095673
FEM1C	1.54514263099685	9.93357570754745	9.97310205775276	5.35228723718553e-18	5.08613259002731e-15	30.3504123066659
POMP	1.17073352409527	11.3157962760365	9.75146656391606	1.96020771542292e-17	1.36600341662105e-14	29.0854452379479
MPP1	1.38791672113543	11.1035117176715	9.70718428509791	2.53918301092017e-17	1.65888000082178e-14	28.8332639735144
FAM160B1	1.34221114495197	10.4974878188321	9.62662338845751	4.06384152335237e-17	2.35996308020013e-14	28.3749959479787
DCP2	1.1696028658748	11.0765710096131	9.61538040754209	4.3392697404908e-17	2.3872835051237e-14	28.3110950765295
TLR5	2.19780675401654	10.9422642850584	9.51098197038047	7.97221278962102e-17	4.16667701449543e-14	27.7183984126101
ZMPSTE24	1.01004887015906	10.5408701116569	9.49776069778409	8.60982677017675e-17	4.28564377279322e-14	27.6434258637805
WDR26	1.4593668315	9.51821881661314	9.12675838145634	7.3922377857834e-16	2.58537097634041e-13	25.5485335784161
YTHDF3	1.19552126602441	8.74214449873723	9.12356390014738	7.52975994057278e-16	2.58537097634041e-13	25.5305762158673
RAP2C	1.09938981070157	9.5453145979635	9.12042612320516	7.66732041199203e-16	2.58537097634041e-13	25.5129390430692
YWHAH	1.09795122535433	12.506584260146	9.02189805253402	1.35272966491136e-15	4.28487369312681e-13	24.9598576184492
LY96	1.74713985282677	12.6427242294161	8.887642822376	2.9251606698318e-15	8.49352902270883e-13	24.2086181524802
RAB31	1.03312158486614	12.9675042462044	8.84674147316409	3.69778496391935e-15	1.00844829867065e-12	23.9803252333651
KIF1B	1.58708598186063	10.175070605854	8.84371164437893	3.7625068064819e-15	1.00844829867065e-12	23.9634250948608
UBE2J1	1.28908896970236	10.6527105037226	8.63434150005083	1.2432605086452e-14	2.59916041937366e-12	22.799405846467
ADM	1.43096911062204	12.8869659135766	8.53598491830403	2.17388645095816e-14	4.20808056886402e-12	22.2553184596879
RRAGD	1.198808506137	10.7383946284161	8.37209264958528	5.49307269600095e-14	8.69986195322696e-12	21.3528790015868
JAK2	1.34721410083464	8.61264817315329	8.25594052911812	1.05607803581149e-13	1.47189116111167e-11	20.7166522004888
DRAM1	1.44795956336142	8.97663429058394	8.1241625982967	2.20925807822603e-13	2.78233430020442e-11	19.9983915538692
