"Probe"	"gennames"	"biotype_gene"
"11715100_at"	"HIST1H3G"	"protein_coding"
"11715101_s_at"	"HIST1H3G"	"protein_coding"
"11715102_x_at"	"HIST1H3G"	"protein_coding"
"11715103_x_at"	NA	NA
"11715104_s_at"	"OTOP2"	"protein_coding"
"11715105_at"	NA	NA
"11715108_x_at"	NA	NA
"11715109_at"	"SAMD7"	"protein_coding"
"11715110_at"	"ARRDC5"	"protein_coding"
"11715112_at"	"ERICH3"	"protein_coding"
"11715113_x_at"	NA	NA
"11715114_x_at"	NA	NA
"11715115_s_at"	"HIST1H2BI"	"protein_coding"
"11715116_s_at"	"HIST1H4E"	"protein_coding"
"11715117_x_at"	"HIST1H2AJ"	"protein_coding"
"11715118_s_at"	"HIST1H2BF"	"protein_coding"
"11715119_s_at"	"C2CD4B"	"protein_coding"
"11715120_s_at"	"HIST1H2BE"	"protein_coding"
"11715121_s_at"	"HIST1H3A"	"protein_coding"
"11715122_at"	NA	NA
"11715123_s_at"	"PDZD9"	"protein_coding"
"11715124_s_at"	"CACNG8"	"protein_coding"
"11715125_at"	NA	NA
"11715126_s_at"	"HIST1H2BN"	"protein_coding"
"11715127_s_at"	"GPR32"	"protein_coding"
"11715128_s_at"	NA	NA
"11715129_s_at"	"ZNF600"	"protein_coding"
"11715130_s_at"	"KRTAP6-2"	"protein_coding"
"11715131_s_at"	"KRTAP20-1"	"protein_coding"
"11715132_x_at"	"HIST1H2BH"	"protein_coding"
"11715133_s_at"	"PCDHGA1"	"protein_coding"
"11715134_s_at"	"GLIPR1L2"	"protein_coding"
"11715135_s_at"	NA	NA
"11715136_at"	"OR8U1"	"protein_coding"
"11715139_x_at"	"IFNA10"	"protein_coding"
"11715140_s_at"	NA	NA
"11715141_s_at"	NA	NA
"11715142_s_at"	"GSC2"	"protein_coding"
"11715143_s_at"	"OR9Q2"	"protein_coding"
"11715144_s_at"	"KRTAP19-7"	"protein_coding"
"11715145_s_at"	"KRTAP20-2"	"protein_coding"
"11715147_at"	"MAATS1"	"protein_coding"
"11715148_s_at"	"HIST2H2AB"	"protein_coding"
"11715149_x_at"	"HIST2H2AB"	"protein_coding"
"11715150_s_at"	NA	NA
"11715151_x_at"	"PRB3"	"protein_coding"
"11715152_at"	NA	NA
"11715153_s_at"	NA	NA
"11715154_s_at"	"ZNF675"	"protein_coding"
"11715156_s_at"	"KRTAP6-1"	"protein_coding"
"11715157_s_at"	"KRTAP19-2"	"protein_coding"
"11715158_s_at"	"KRTAP19-4"	"protein_coding"
"11715159_at"	"SFT2D1"	"protein_coding"
"11715160_x_at"	NA	"unprocessed_pseudogene"
"11715161_s_at"	"KRTAP21-2"	"protein_coding"
"11715162_s_at"	NA	NA
"11715163_s_at"	"DEFB128"	"protein_coding"
"11715164_s_at"	"IGLL3P"	"unprocessed_pseudogene"
"11715165_at"	"DNAJC12"	"protein_coding"
"11715166_at"	"DNAJC12"	"protein_coding"
"11715167_at"	"ARHGAP22"	"protein_coding"
"11715168_s_at"	NA	NA
"11715169_at"	"PLEKHG2"	"protein_coding"
"11715170_x_at"	"HNRNPCL1"	"protein_coding"
"11715171_at"	"DEPDC5"	"protein_coding"
"11715172_at"	"DEPDC5"	"protein_coding"
"11715173_s_at"	NA	NA
"11715174_s_at"	NA	NA
"11715175_x_at"	NA	NA
"11715176_at"	"TDRKH"	"protein_coding"
"11715177_s_at"	"TDRKH"	"protein_coding"
"11715178_s_at"	"OR2A14"	"protein_coding"
